sample.name,Species,Island,Phenotype,cohort,WGS.bioproject
01Dap18381,fortis,Daphne,yellow,1998,PRJNA678752
03Dap18391,scandens,Daphne,pink,1998,PRJNA678752
03Dap18394,scandens,Daphne,yellow,1995,PRJNA678752
03Dap18395,scandens,Daphne,yellow,1995,PRJNA678752
03Dap18396,scandens,Daphne,yellow,1995,PRJNA678752
03Dap18397,scandens,Daphne,yellow,1995,PRJNA678752
03Dap18398,scandens,Daphne,yellow,1995,PRJNA678752
03Dap18399,scandens,Daphne,yellow,1995,PRJNA678752
03Dap18431,scandens,Daphne,yellow,1998,PRJNA678752
01Dap18437,fortis,Daphne,,1992,PRJNA678752
03Dap18467,scandens,Daphne,,1992,PRJNA678752
03Dap18468,scandens,Daphne,,1992,PRJNA678752
01Dap18471,fortis,Daphne,yellow,1998,PRJNA678752
03Dap18481,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18486,scandens,Daphne,,1992,PRJNA678752
01Dap18499,fortis,Daphne,,1992,PRJNA678752
01Dap18502,fortis,Daphne,pink,1993,PRJNA678752
01Dap18509,fortis,Daphne,yellow,1993,PRJNA678752
01Dap18514,fortis,Daphne,pink,1998,PRJNA678752
03Dap18517,scandens,Daphne,pink,1998,PRJNA678752
01Dap18519,fortis,Daphne,pink,1998,PRJNA678752
03Dap18533,scandens,Daphne,,1992,PRJNA678752
01Dap18538,fortis,Daphne,yellow,1993,PRJNA678752
03Dap18539,scandens,Daphne,yellow,1993,PRJNA678752
03Dap18540,scandens,Daphne,yellow,1993,PRJNA678752
03Dap18544,scandens,Daphne,,1992,PRJNA678752
03Dap18547,scandens,Daphne,,1992,PRJNA678752
03Dap18549,scandens,Daphne,,1992,PRJNA678752
01Dap18551,fortis,Daphne,yellow,1998,PRJNA678752
03Dap18553,scandens,Daphne,,1992,PRJNA678752
03Dap18557,scandens,Daphne,,1992,PRJNA678752
01Dap18561,fortis,Daphne,yellow,1998,PRJNA678752
03Dap18565,scandens,Daphne,yellow,1993,PRJNA678752
03Dap18566,scandens,Daphne,yellow,1993,PRJNA678752
03Dap18573,scandens,Daphne,yellow,1993,PRJNA678752
03Dap18574,scandens,Daphne,yellow,1993,PRJNA678752
01Dap18575,fortis,Daphne,pink,1998,PRJNA678752
01Dap18576,fortis,Daphne,yellow,1998,PRJNA678752
03Dap18578,scandens,Daphne,,1993,PRJNA678752
03Dap18580,scandens,Daphne,pink,1995,PRJNA678752
03Dap18583,scandens,Daphne,yellow,1995,PRJNA678752
01Dap18585,fortis,Daphne,,1992,PRJNA678752
03Dap18591,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18593,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18594,scandens,Daphne,yellow,1995,PRJNA678752
03Dap18598,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18599,scandens,Daphne,pink,1998,PRJNA678752
01Dap18601,fortis,Daphne,pink,1998,PRJNA678752
03Dap18614,scandens,Daphne,pink,1998,PRJNA678752
01Dap18616,fortis,Daphne,yellow,1998,PRJNA678752
03Dap18632,scandens,Daphne,pink,1993,PRJNA678752
01Dap18645,fortis,Daphne,pink,1993,PRJNA678752
03Dap18651,scandens,Daphne,yellow,1998,PRJNA678752
01Dap18658,fortis,Daphne,yellow,1993,PRJNA678752
03Dap18661,scandens,Daphne,yellow,1998,PRJNA678752
01Dap18664,fortis,Daphne,pink,1993,PRJNA678752
01Dap18673,fortis,Daphne,yellow,1993,PRJNA678752
01Dap18680,fortis,Daphne,pink,1993,PRJNA678752
01Dap18693,fortis,Daphne,yellow,1993,PRJNA678752
03Dap18695,scandens,Daphne,yellow,1993,PRJNA678752
01Dap18696,fortis,Daphne,yellow,1993,PRJNA678752
01Dap18697,fortis,Daphne,yellow,1993,PRJNA678752
01Dap18704,fortis,Daphne,yellow,1993,PRJNA678752
03Dap18715,scandens,Daphne,pink,1998,PRJNA678752
03Dap18716,scandens,Daphne,pink,1998,PRJNA678752
